STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25020000-DIGITAL LITERACY FOR EDUCATORS,Expense,102-Contracts for program services,0,"85,000","80,000",0,"80,000","80,000",0,"80,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25020000-DIGITAL LITERACY FOR EDUCATORS,Funding,009-Agency Income,0,"99,700","94,910",0,"94,910","94,910",0,"94,910"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25020000-DIGITAL LITERACY FOR EDUCATORS,Funding,00S-General Fund,"4,479",0,0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,010-Personal Services-Perm. Classi,"209,138","242,046","403,805",0,"403,805","420,120",0,"420,120"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,018-Overtime,0,0,"5,500",0,"5,500","5,500",0,"5,500"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,020-Current Expenses,"1,226","1,700","1,300",0,"1,300","1,300",0,"1,300"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,026-Organizational Dues,0,0,"1,100",0,"1,100","1,100",0,"1,100"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,029-Intra-Agency Transfers,162,200,200,0,200,200,0,200
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,030-Equipment New/Replacement,"68,234",550,"1,000",0,"1,000","1,000",0,"1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,037-Technology - Hardware,"5,633","1,500",100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,038-Technology - Software,82,"1,125",100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,039-Telecommunications,"2,118","2,284","4,509",0,"4,509","4,509",0,"4,509"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,050-Personal Service-Temp/Appointe,0,"5,000",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,"057-Books, Periodicals, Subscripti",0,330,600,0,600,600,0,600
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,060-Benefits,"117,082","128,440","226,683",0,"226,683","240,538",0,"240,538"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,066-Employee training,0,500,500,0,500,500,0,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,070-In-State Travel Reimbursement,187,"2,700","1,000",0,"1,000","1,000",0,"1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,080-Out-Of State Travel,"9,717",500,"14,000",0,"14,000","14,000",0,"14,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,102-Contracts for program services,"77,019","90,000","6,000","1,500,000","1,506,000","6,000","1,500,000","1,506,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,230-Interpreter Services,0,"1,500",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Expense,235-Transcription Services,0,0,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Funding,00S-General Fund,"490,598","478,375","666,497","1,500,000","2,166,497","696,667","1,500,000","2,196,667"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25030000-INSTRUCTIONAL SUPPORT,Position,FTE1-Permanent Classified,3,3,5,0,5,5,0,5
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,010-Personal Services-Perm. Classi,"1,601,625","2,057,813","2,206,825",0,"2,206,825","2,262,742",0,"2,262,742"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,018-Overtime,0,0,"31,900",0,"31,900","31,900",0,"31,900"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,020-Current Expenses,"14,885","41,100","46,200",0,"46,200","46,200",0,"46,200"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,021-Food for Institutions and Depts,"1,400","2,500","2,500",0,"2,500","2,500",0,"2,500"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,026-Organizational Dues,"10,386","11,000","12,000",0,"12,000","12,000",0,"12,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,027-Transfers To Oit,"242,007","228,298","302,978",0,"302,978","312,503",0,"312,503"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,028-Transfers to Plant & Prop,"54,300","122,341","111,317",0,"111,317","109,589",0,"109,589"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,029-Intra-Agency Transfers,"3,542","11,000","62,636",0,"62,636","64,428",0,"64,428"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,030-Equipment New/Replacement,"172,306","3,000","3,000",0,"3,000","3,000",0,"3,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,037-Technology - Hardware,"29,126","18,000","18,000",0,"18,000","18,000",0,"18,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,038-Technology - Software,"1,872","703,916","73,016",0,"73,016","73,016",0,"73,016"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,039-Telecommunications,"16,984","17,226","19,560",0,"19,560","19,560",0,"19,560"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,040-Indirect Costs,"97,138","365,204","396,930",0,"396,930","408,269",0,"408,269"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,041-Audit Fund Set Aside,"48,592","61,966","62,504",0,"62,504","62,609",0,"62,609"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,042-Additional Fringe Benefits,"110,395","218,528","267,772",0,"267,772","274,252",0,"274,252"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,046-Consultants,"18,735","20,000","20,000",0,"20,000","20,000",0,"20,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,050-Personal Service-Temp/Appointe,"63,657","172,880","149,192",0,"149,192","150,818",0,"150,818"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,"057-Books, Periodicals, Subscripti","2,955","1,000","3,000",0,"3,000","3,000",0,"3,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,059-Temp Full Time,"142,142","84,726","208,377",0,"208,377","210,347",0,"210,347"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,060-Benefits,"935,520","1,243,112","1,443,587",0,"1,443,587","1,517,512",0,"1,517,512"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,065-Board Expenses,0,0,"1,000",0,"1,000","1,000",0,"1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,066-Employee training,"7,864","18,700","18,700",0,"18,700","18,700",0,"18,700"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,070-In-State Travel Reimbursement,"8,537","31,200","31,200",0,"31,200","31,200",0,"31,200"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,072-Grants-Federal,"42,715,258","54,134,260","54,134,260",0,"54,134,260","54,134,260",0,"54,134,260"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,080-Out-Of State Travel,"65,950","89,100","110,200",0,"110,200","110,200",0,"110,200"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,102-Contracts for program services,"2,246,325","2,639,000","3,527,458",0,"3,527,458","2,770,000",0,"2,770,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Expense,230-Interpreter Services,369,"13,000","13,000",0,"13,000","13,000",0,"13,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Funding,000-Federal Funds,"48,611,870","62,308,870","63,277,112",0,"63,277,112","62,680,605",0,"62,680,605"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25040000-IDEA-SPECIAL ED-ELEM/SEC,Position,FTE1-Permanent Classified,30,30,30,0,30,30,0,30
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,010-Personal Services-Perm. Classi,"79,834","92,673","82,927",0,"82,927","83,070",0,"83,070"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,018-Overtime,0,0,"1,100",0,"1,100","1,100",0,"1,100"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,020-Current Expenses,127,100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,026-Organizational Dues,0,100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,027-Transfers To Oit,0,"5,966","4,920",0,"4,920","5,067",0,"5,067"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,028-Transfers to Plant & Prop,0,"3,033","3,274",0,"3,274","3,223",0,"3,223"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,029-Intra-Agency Transfers,30,"1,100","22,423",0,"22,423","22,848",0,"22,848"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,030-Equipment New/Replacement,0,100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,037-Technology - Hardware,0,100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,038-Technology - Software,0,100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,039-Telecommunications,0,417,420,0,420,420,0,420
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,040-Indirect Costs,"3,233","14,186","10,759",0,"10,759","10,832",0,"10,832"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,041-Audit Fund Set Aside,"1,406","1,871","1,855",0,"1,855","1,858",0,"1,858"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,042-Additional Fringe Benefits,"4,900","8,849","8,884",0,"8,884","8,884",0,"8,884"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,050-Personal Service-Temp/Appointe,0,0,"1,143",0,"1,143","1,000",0,"1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,060-Benefits,"28,837","56,062","29,892",0,"29,892","30,823",0,"30,823"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,072-Grants-Federal,"1,087,552","1,372,959","1,403,637",0,"1,403,637","1,403,637",0,"1,403,637"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Expense,102-Contracts for program services,"200,063","325,000","282,460",0,"282,460","285,000",0,"285,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Funding,000-Federal Funds,"1,405,982","1,882,616","1,854,194",0,"1,854,194","1,858,262",0,"1,858,262"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25050000-IDEA- SPECIAL ED-PRESCHOOL,Position,FTE1-Permanent Classified,1,1,1,0,1,1,0,1
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,010-Personal Services-Perm. Classi,0,"40,355",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,020-Current Expenses,0,"3,000","10,000",0,"10,000","10,000",0,"10,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,026-Organizational Dues,0,"4,000",100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,027-Transfers To Oit,0,"11,929",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,028-Transfers to Plant & Prop,0,"6,064",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,029-Intra-Agency Transfers,0,"1,000",600,0,600,600,0,600
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,030-Equipment New/Replacement,0,100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,037-Technology - Hardware,0,500,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,038-Technology - Software,0,"20,000",100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,039-Telecommunications,0,"1,000",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,040-Indirect Costs,0,"20,534","12,554",0,"12,554","12,554",0,"12,554"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,041-Audit Fund Set Aside,27,846,891,0,891,891,0,891
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,042-Additional Fringe Benefits,0,"12,353","7,823",0,"7,823","7,823",0,"7,823"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,050-Personal Service-Temp/Appointe,0,"14,842","75,000",0,"75,000","75,000",0,"75,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,"057-Books, Periodicals, Subscripti",0,"4,000","5,000",0,"5,000","5,000",0,"5,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,059-Temp Full Time,0,"67,509",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,060-Benefits,0,"69,313","5,895",0,"5,895","5,895",0,"5,895"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,066-Employee training,0,"1,000","1,000",0,"1,000","1,000",0,"1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,070-In-State Travel Reimbursement,0,"2,500","1,000",0,"1,000","1,000",0,"1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,072-Grants-Federal,"17,528",100,100,0,100,100,0,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,080-Out-Of State Travel,0,"7,000","7,000",0,"7,000","7,000",0,"7,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,102-Contracts for program services,"9,119","575,000","720,000",0,"720,000","720,000",0,"720,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Expense,230-Interpreter Services,0,500,0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Funding,000-Federal Funds,"26,674","863,445","847,263",0,"847,263","847,263",0,"847,263"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25060000-STATE PROF DEVELOPMENT,Position,FTE1-Permanent Classified,1,1,0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,010-Personal Services-Perm. Classi,"16,640","35,832",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,020-Current Expenses,612,"3,000",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,021-Food for Institutions and Depts,0,200,0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,022-Rents-Leases Other Than State,0,"5,000",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,027-Transfers To Oit,"7,006","5,966",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,028-Transfers to Plant & Prop,"2,968","3,033",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,029-Intra-Agency Transfers,116,"1,500",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,030-Equipment New/Replacement,0,"1,000",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,037-Technology - Hardware,0,"1,000",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,038-Technology - Software,"11,067","1,520",0,0,0,0,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,GRT562010-LEARNER SUPPORT,010-General Fund,25080000-PROJECT AWARE,Expense,039-Telecommunications,"1,198","1,677",0,0,0,0,0,0
