STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,020-Current Expenses,0,0,"2,000","2,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,030-Equipment New/Replacement,0,0,"5,000","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,037-Technology - Hardware,0,0,"4,000","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,038-Technology - Software,0,0,"1,000","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,039-Telecommunications,0,0,"3,360","3,696"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,050-Personal Service-Temp/Appointe,0,0,"1,000","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,060-Benefits,0,0,"70,195","74,310"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,070-In-State Travel Reimbursement,0,0,"3,500","3,500"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,080-Out-Of State Travel,0,0,"6,000","6,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Expense,102-Contracts for program services,0,0,"50,000","50,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Funding,00S-General Fund,0,0,"-276,959","-279,978"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,34740000-OFFICE OF EARLY CHILDHOOD,Position,FTE1-Permanent Classified,0,0,2,2
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,010-Personal Services-Perm. Classi,0,"183,634",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,020-Current Expenses,0,"3,636",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,027-Transfers To Oit,0,"15,241",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,028-Transfers to Plant & Property,0,"5,547",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,029-Intra-Agency Transfers,0,"6,064",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,030-Equipment New/Replacement,0,"1,050",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,037-Technology - Hardware,0,"2,315",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,038-Technology - Software,0,"8,612",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,039-Telecommunications,0,"4,284",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,040-Indirect Costs,0,"23,645",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,041-Audit Fund Set Aside,0,"2,219",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,042-Additional Fringe Benefits,0,"20,877",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,050-Personal Service-Temp/Appointe,0,"16,526",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,060-Benefits,0,"107,804",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,066-Employee training,0,"2,205",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,067-Training of Providers,0,"2,205",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,070-In-State Travel Reimbursement,0,"4,450",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,080-Out-Of State Travel,0,"6,174",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,085-Interagency Transfers out of F,0,"1,283",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,102-Contracts for program services,"3,352","1,800,000",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,103-Contracts for Op Services,0,368,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Expense,230-Interpreter Services,0,263,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Funding,00D-Fed Rev Xfers from Other Agencies,"-3,352","-2,218,402",0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,LEA565010-WORKFORCE INNOVATION,010-General Fund,40950000-WIOA - YOUTH TITLE I,Position,FTE1-Permanent Classified,3,3,0,0
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,010-Personal Services-Perm. Classi,"158,976","180,911","186,672","189,368"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,018-Overtime,0,"3,000","3,000","3,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,020-Current Expenses,"2,409","6,200","6,200","6,200"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,029-Intra-Agency Transfers,2,700,700,700
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,030-Equipment New/Replacement,0,"2,000","2,000","2,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,039-Telecommunications,"1,968","2,100","1,575","1,575"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,050-Personal Service-Temp/Appointe,0,"5,000","5,000","5,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,060-Benefits,"112,374","121,910","129,688","136,388"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,066-Employee training,"1,095","1,900","1,900","1,900"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,070-In-State Travel Reimbursement,0,500,500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Expense,102-Contracts for program services,0,"10,000","10,000","10,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Funding,00S-General Fund,"-276,824","-334,221","-347,235","-356,631"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,12070000-HUMAN RESOURCES,Position,FTE1-Permanent Classified,3,3,3,3
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,010-Personal Services-Perm. Classi,"190,659","209,225","206,431","211,979"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,020-Current Expenses,"2,769","4,750","4,750","4,750"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,026-Organizational Dues,0,0,750,750
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,029-Intra-Agency Transfers,342,350,350,350
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,030-Equipment New/Replacement,255,150,150,150
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,038-Technology - Software,163,450,450,450
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,039-Telecommunications,"2,396","1,860","2,642","2,716"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,046-Consultants,"8,165","50,000","50,000","50,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,050-Personal Service-Temp/Appointe,0,0,"2,000","2,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,"057-Books, Periodicals, Subscripti",90,"1,200","1,200","1,200"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,060-Benefits,"99,891","113,671","110,407","116,153"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,066-Employee training,709,500,500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,070-In-State Travel Reimbursement,890,"1,000","3,000","3,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,080-Out-Of State Travel,0,"2,000","2,750","2,750"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,102-Contracts for program services,328,"25,000","25,000","25,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,230-Interpreter Services,0,100,100,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Expense,235-Transcription Services,"6,303","15,000","15,000","15,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Funding,00S-General Fund,"-312,960","-425,256","-425,480","-436,848"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,20220000-GOVERNANCE,Position,FTE1-Permanent Classified,3,3,3,3
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,018-Overtime,0,"6,000","2,500","2,500"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,020-Current Expenses,0,"2,000",500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,027-Transfers To Oit,"2,801","10,160",500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,028-Transfers to Plant & Property,851,"5,008","1,000","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,029-Intra-Agency Transfers,0,"34,631",250,250
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,030-Equipment New/Replacement,0,"8,000",100,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,037-Technology - Hardware,0,"8,100","2,500","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,038-Technology - Software,0,"1,100",500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,039-Telecommunications,0,"3,540",600,600
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,040-Indirect Costs,"1,922","1,922","1,238","1,345"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,041-Audit Fund Set Aside,54,90,94,94
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,042-Additional Fringe Benefits,0,"1,155",887,991
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,050-Personal Service-Temp/Appointe,0,"5,053","6,000","7,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,060-Benefits,0,"3,585","1,009","1,087"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,070-In-State Travel Reimbursement,0,200,250,250
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,080-Out-Of State Travel,0,200,500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Expense,102-Contracts for program services,"35,000","4,000","75,000","75,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,30650000-PRESCHOOL DEVELOPMENT GRANT,Funding,000-Federal Funds,"-40,628","-94,744","-93,428","-93,217"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,39100000-SENATE YOUTH PROGRAM,Expense,020-Current Expenses,0,600,"1,800","1,800"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,39100000-SENATE YOUTH PROGRAM,Expense,021-Food for Institutions and Depts,0,800,"2,400","2,400"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,39100000-SENATE YOUTH PROGRAM,Expense,070-In-State Travel Reimbursement,0,600,"1,800","1,800"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,39100000-SENATE YOUTH PROGRAM,Funding,005-Private Local Funds,0,"-2,000","-6,000","-6,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,41320000-TEACHER OF THE YEAR,Expense,020-Current Expenses,818,650,700,700
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,41320000-TEACHER OF THE YEAR,Expense,021-Food for Institutions and Depts,0,"2,000","6,400","6,400"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,41320000-TEACHER OF THE YEAR,Expense,070-In-State Travel Reimbursement,0,"2,350","2,100","2,100"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,41320000-TEACHER OF THE YEAR,Expense,080-Out-Of State Travel,949,"7,200","3,000","3,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,41320000-TEACHER OF THE YEAR,Expense,102-Contracts for program services,0,100,100,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,41320000-TEACHER OF THE YEAR,Funding,005-Private Local Funds,"-1,767","-12,300","-12,300","-12,300"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,42750000-OIT STATE,Expense,027-Transfers To Oit,"637,887","708,421","736,962","742,704"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,42750000-OIT STATE,Funding,00S-General Fund,"-637,887","-708,421","-736,962","-742,704"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,010-Personal Services-Perm. Classi,"446,711","543,757","573,908","584,515"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,018-Overtime,"8,521","9,000","10,000","10,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,020-Current Expenses,"9,033","16,900","16,900","16,900"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,022-Rents-Leases Other Than State,59,100,100,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,024-Maint.Other Than Build.- Grnds,0,100,100,100
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,029-Intra-Agency Transfers,543,"3,000","3,000","3,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,030-Equipment New/Replacement,"8,238","5,000","15,000","14,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,037-Technology - Hardware,0,500,500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,038-Technology - Software,154,"1,000","1,000","1,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,039-Telecommunications,"4,408","6,519","6,500","7,500"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,050-Personal Service-Temp/Appointe,0,"25,000","25,000","25,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,"057-Books, Periodicals, Subscripti",0,500,500,500
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,060-Benefits,"207,672","296,287","290,329","303,859"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,066-Employee training,50,"2,400","2,400","2,400"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,070-In-State Travel Reimbursement,167,"3,400","3,400","3,400"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,080-Out-Of State Travel,0,"4,300","4,300","4,300"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Expense,102-Contracts for program services,"221,923","20,000","20,000","20,000"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Funding,00S-General Fund,"-907,479","-937,763","-972,937","-997,074"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60020000-BUSINESS MANAGEMENT,Position,FTE1-Permanent Classified,8,8,9,9
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60030000-DEPUTY COMMISSIONER,Expense,010-Personal Services-Perm. Classi,"114,325","150,196","194,237","196,887"
06-EDUCATION,00056-EDUCATION DEPT,056-EDUCATION DEPT,ODC560510-OFFICE OF DEP COMMISSIONER,010-General Fund,60030000-DEPUTY COMMISSIONER,Expense,011-Personal Services-Unclassified,0,0,"127,504","127,504"
