STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,13710000-MATERNAL OPIOID MISUSE MODEL,Expense,070-In-State Travel Reimbursement,0,432,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,13710000-MATERNAL OPIOID MISUSE MODEL,Expense,074-Grants for Pub Asst and Relief,398703,669301,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,13710000-MATERNAL OPIOID MISUSE MODEL,Expense,102-Contracts for program services,14133,79271,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,13710000-MATERNAL OPIOID MISUSE MODEL,Funding,000-Federal Funds,413283,750000,750,0,750,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,43080000-ADULT DENTAL PROGRAM,Expense,041-Audit Fund Set Aside,5795,5840,3605,0,3605,3713,0,3713
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,43080000-ADULT DENTAL PROGRAM,Expense,101-Medical Payments to Providers,11497518,11680000,7209431,0,7209431,7425714,0,7425714
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,43080000-ADULT DENTAL PROGRAM,Funding,000-Federal Funds,5745760,5845840,3608321,0,3608321,3716570,0,3716570
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,43080000-ADULT DENTAL PROGRAM,Funding,001-Transfer from Other Agencies,4397,0,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,43080000-ADULT DENTAL PROGRAM,Funding,009-Agency Income,5753156,5840000,3604715,0,3604715,3712857,0,3712857
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,70510000-CHILD HEALTH INSURANCE PROGRAM,Expense,041-Audit Fund Set Aside,79734,78620,93111,0,93111,95201,0,95201
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,70510000-CHILD HEALTH INSURANCE PROGRAM,Expense,101-Medical Payments to Providers,126354511,120391265,143247205,0,143247205,146463121,0,146463121
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,70510000-CHILD HEALTH INSURANCE PROGRAM,Funding,000-Federal Funds,82576381,78699157,93203794,0,93203794,95296230,0,95296230
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,70510000-CHILD HEALTH INSURANCE PROGRAM,Funding,007-Agency Income,2180929,1600000,1600000,0,1600000,1600000,0,1600000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,70510000-CHILD HEALTH INSURANCE PROGRAM,Funding,00S-General Fund,41676935,40170728,48536522,0,48536522,49662092,0,49662092
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,72070000-MEDICAID TO SCHOOLS,Expense,041-Audit Fund Set Aside,9489,17000,17000,0,17000,17000,0,17000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,72070000-MEDICAID TO SCHOOLS,Expense,511-Medicaid to Schools,9054606,17000000,17000000,0,17000000,17000000,0,17000000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,72070000-MEDICAID TO SCHOOLS,Funding,000-Federal Funds,9064095,17017000,17017000,0,17017000,17017000,0,17017000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,010-Personal Services-Perm. Classi,1985637,2284385,2481314,0,2481314,2536773,0,2536773
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,012-Personal Services-Unclassified,657441,689439,782716,0,782716,787567,0,787567
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,018-Overtime,1369,8400,8400,0,8400,8400,0,8400
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,020-Current Expenses,32212,65000,65000,0,65000,65000,0,65000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,026-Organizational Dues,13763,15000,17500,0,17500,17500,0,17500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,030-Equipment New/Replacement,0,4000,4000,0,4000,4000,0,4000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,039-Telecommunications,6422,7500,8000,0,8000,8000,0,8000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,041-Audit Fund Set Aside,43941,77249,46536,0,46536,46968,0,46968
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,042-Additional Fringe Benefits,112964,115152,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,049-Transfer to Other State Agenci,45216427,43435409,34437500,0,34437500,34637500,0,34637500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,050-Personal Service-Temp/Appointe,28071,321258,416834,0,416834,425170,0,425170
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,060-Benefits,1179660,1415708,1600791,0,1600791,1680658,0,1680658
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,066-Employee training,0,1000,3000,0,3000,3000,0,3000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,070-In-State Travel Reimbursement,0,1500,1500,0,1500,1500,0,1500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,074-Grants for Pub Asst and Relief,0,0,90000,0,90000,92700,0,92700
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,080-Out-Of State Travel,0,0,1000,0,1000,1000,0,1000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,101-Medical Payments to Providers,1000598,375554,375554,0,375554,375554,0,375554
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Expense,102-Contracts for program services,14860823,15619341,15442481,240000,15682481,15756300,240000,15996300
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Funding,000-Federal Funds,57952072,55732380,46690518,0,46690518,47149051,0,47149051
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Funding,00S-General Fund,7187256,8703515,9091608,240000,9331608,9298539,240000,9538539
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Position,FTE1-Permanent Classified,27,27,27,0,27,27,0,27
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79370000-MEDICAID ADMINISTRATION,Position,FTE2-Unclassified Positions,5,5,6,0,6,6,0,6
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79390000-STATE PHASE DOWN,Expense,503-State Phase Down,51949027,55915850,60682816,0,60682816,62318371,0,62318371
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79390000-STATE PHASE DOWN,Funding,00S-General Fund,51949027,55915850,60682816,0,60682816,62318371,0,62318371
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Expense,041-Audit Fund Set Aside,130943,122364,44351,0,44351,46060,0,46060
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Expense,101-Medical Payments to Providers,18319808,17742846,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Expense,102-Contracts for program services,293770,320123,333812,0,333812,343827,0,343827
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Expense,515-Hosp Uncompensated Care Pool,243228093,226646468,88367481,0,88367481,91776316,0,91776316
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Funding,000-Federal Funds,131185230,122477084,44394997,0,44394997,46106131,0,46106131
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Funding,005-Private Local Funds,130763100,122354717,44350647,0,44350647,46060072,0,46060072
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79430000-UNCOMPENSATED CARE FUND,Funding,009-Agency Income,24284,0,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Expense,041-Audit Fund Set Aside,347936,422990,468181,0,468181,479725,0,479725
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Expense,101-Medical Payments to Providers,665018833,759579288,860543197,0,860543197,881456161,0,881456161
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Expense,535-Out Of Home Placements,57459997,49500000,37500000,0,37500000,38625000,0,38625000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Expense,563-Community Based Services,19410390,23000000,21108024,0,21108024,21741266,0,21741266
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Funding,000-Federal Funds,367978840,423413332,468649223,0,468649223,480205500,0,480205500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Funding,001-Transfer from Other Agencies,207539,0,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Funding,005-Private Local Funds,186030148,154550000,283033124,0,283033124,293951316,0,293951316
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Funding,007-Agency Income,40394890,27999997,28000000,0,28000000,28000000,0,28000000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Funding,009-Agency Income,9089027,168498,168500,0,168500,168500,0,168500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,79480000-MEDICAID CARE MANAGEMENT,Funding,00S-General Fund,138536712,226370451,139768555,0,139768555,139976836,0,139976836
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,80090000-MEDICAID MGMT INFO SYSTEM,Expense,020-Current Expenses,205634,175100,175100,0,175100,175100,0,175100
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,80090000-MEDICAID MGMT INFO SYSTEM,Expense,041-Audit Fund Set Aside,32666,88,36248,0,36248,38498,0,38498
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,80090000-MEDICAID MGMT INFO SYSTEM,Expense,102-Contracts for program services,40738056,44000000,47788279,0,47788279,50288279,0,50288279
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,80090000-MEDICAID MGMT INFO SYSTEM,Funding,000-Federal Funds,30782827,33087638,36283757,0,36283757,38536007,0,38536007
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,047-HHS: DIV MEDICAID SERVICES,MBP470010-DIVISION OF MEDICAID SERVICES,010-General Fund,80090000-MEDICAID MGMT INFO SYSTEM,Funding,00S-General Fund,10193529,11087550,11715870,0,11715870,11965870,0,11965870
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Expense,020-Current Expenses,2547,3900,3900,0,3900,3900,0,3900
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Expense,041-Audit Fund Set Aside,14,91,102,0,102,102,0,102
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Expense,070-In-State Travel Reimbursement,164,1275,1275,0,1275,1275,0,1275
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Expense,074-Grants for Pub Asst and Relief,100159,94994,94994,0,94994,94994,0,94994
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Expense,080-Out-Of State Travel,0,2600,2600,0,2600,2600,0,2600
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Funding,000-Federal Funds,94713,90728,102093,0,102093,102093,0,102093
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,33170000-ADMIN ON AGING SVCS GRANT-SMPP,Funding,00S-General Fund,8171,12132,778,0,778,778,0,778
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,010-Personal Services-Perm. Classi,950988,1037033,1074377,0,1074377,1089282,0,1089282
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,012-Personal Services-Unclassified,120900,124355,125575,0,125575,125577,0,125577
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,018-Overtime,86,0,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,020-Current Expenses,18421,20000,20000,0,20000,20000,0,20000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,026-Organizational Dues,12820,14500,14500,0,14500,14500,0,14500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,039-Telecommunications,223,1200,1200,0,1200,1200,0,1200
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,041-Audit Fund Set Aside,8260,8309,8464,0,8464,8526,0,8526
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,042-Additional Fringe Benefits,39144,68864,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,049-Transfer to Other State Agenci,29282,45404,45404,0,45404,45404,0,45404
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,060-Benefits,518062,575325,659756,0,659756,693110,0,693110
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,066-Employee training,170,500,500,0,500,500,0,500
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,070-In-State Travel Reimbursement,2266,2534,2534,0,2534,2534,0,2534
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,072-Grants-Federal,0,2,2,0,2,2,0,2
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,080-Out-Of State Travel,559,5000,5000,0,5000,5000,0,5000
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,102-Contracts for program services,0,2460658,0,0,0,0,0,0
05-HEALTH AND SOCIAL SERVICES,00095-HEALTH AND HUMAN SVCS DEPT,048-HHS: DLTSS-BUR ADULT & AGING,GRT481010-GRANTS FOR SOCIAL SVC PROG,010-General Fund,78720000-ADM ON AGING GRANTS,Expense,103-Contracts for Op Services,0,750000,0,750000,750000,0,750000,750000
